"sentiment","summary","user_review","category"
"negative","799 deal on Amazon: Fast GaN USB-C charger (20W, Type-C) marketed for various devices, with actual price being much higher at 2559.nan.","Amazon Spigen USB C Charger Block GaN Fast 20W USBC Power Adapter Type C for iPhone MagSafe Z Fold Flip Pixel 8a Fast Foldable Wall Charger PD Charging AirPods Apple Watch 799 Deal 799 Actual 2559.nan","Price related"
"negative"," The issue is that a Galaxy Watch 7 is unable to pair with a Google Pixel 7, despite multiple attempts.","Do any of you use non Samsung phones with your Galaxy Watch Up untill yesterday I could use my Watch 7 with my Pixel 7 Now no matter how many times I try to connect it doesnt pair with the phone Just stays on this screen and fails to connect Any fix.nan","Connection and Pairing issues"
"negative","

When using Galaxy Watch, Galaxy Buds 2 pro and Pixel 7, calls initiated from watch are not automatically routed to earbuds; manually selecting earbuds is necessary for audio playback. Potential solutions needed.","Hey I am using a Galaxy Watch  Galaxy Buds 2 pro and a Pixel 7 When I send a call from watch to my phone thats connected to my earbuds it doesnt go straight to the earbuds it turns them off I have to select them to hear it through the earbuds Any fix.nan","Bluetooth Issues"
"negative"," The app store lacks a Watch7 plugin for Pixel phones; no Watch7 option found, or should updates be expected?","Any Pixel Phone and Watch 7 people here.Just got my 7 in to replace my 5 and I notice that there is no Watch7 plugin in the app store I only see a Watch5 and Watch6 plugin Do I not need it or should I wait for more updates","Sync issues"
"negative"," With Galaxy Watch, Galaxy Buds 2 Pro and Pixel 7, calls sent from the watch to the paired phone and earbuds do not automatically play on the earbuds; a manual selection of the earbuds is required to hear the call. Seek a solution for this issue.","Hey I am using a Galaxy Watch  Galaxy Buds 2 pro and a Pixel 7 When I send a call from watch to my phone thats connected to my earbuds it doesnt go straight to the earbuds it turns them off I have to select them to hear it through the earbuds Any fix.nan","Bluetooth Issues"
"negative"," On Pixel 7, how to display Bluetooth earbud battery status without enabling phone calls or using third-party apps.","Pixel 7 Bluetooth earbud battery status without enabling phone calls.How do I get Android on my Pixel 7 to display the Bluetooth earbud battery status without enabling the phone calls settingI hate phone calls and I almost never answer them And if I do its not going to be with my earbuds I only use them to listen to music or videosWhy does the battery status disappear in the Bluetooth settings menu when I disable phone calls Surely thats not an intentional feature what could possibly be the purposeI googled and saw some people complaining about the same thing Apparently for some people the issue started when they upgraded to Android 10 didnt happen in Android 9 But I couldnt find any explanation or solutionOn a side note I saw some people mention a setting for showing Bluetooth battery percent in the notification bar How do I do that is it possible without a third party appMy previous phone was a Note 8 and upgrades ended at Android 9 so Ive  never used Android 1012 Was there some progression and regression of features I missed out on","Bluetooth Issues"
"negative"," Despite initial satisfaction, the daily usage of Pixel 7 has been consistently plagued by issues with Bluetooth connectivity and audio disruptions on various devices.","My Pixel 7 experience.I got a pixel 7 around two years ago At first I really enjoyed the phone hopping off from an iphone 11 At first It didnt feel that big of a upgrade but the screen and camera were betterBut then daily driving this phone I constantly have problems with connecting to internet and bluetooth Ive had 3 different earbuds with my pixel Sony JBL and now Galaxy budsEvery day I experience bugs and lags in my audio with suddenly disconnecting devices from my bt Just listening to a song while on a bike to campus none of that I will suddenly disconnect you Sitting at my desk I will suddenly desync your buds so your audio will be horrible I have tried all 3 earbuds with my Samsung Galaxy tab and my laptop and they worked fine amazing actuallyHave kept my pixel up to date and everything it is not a problem on my case But the Bluetooth problems are just getting worse and worse never had such bad connection even with my Huawei p20 lite and some 20 euro bluetooth earphones Very sad to have this as listening to music is crucial and connecting to wifi As websites dont load on my picel my tablet next to it works fine streaming in high resolution I work in telecom and am certain that it is a problem with my deviceOveral it was passable but not as amazing as I have heard from others so this will for certain be my last pixel phone","Bluetooth Issues"
"negative"," My Pixel 7 has intermittent audio routing issues with Samsung Buds 2 Pro when in use for calls or idle for long periods; audio redirects to phone speakers despite control over volume and tracks remaining functional.","Problems with my Pixel 7 connecting with Samsung Buds 2 pro.I have a very specific problem with my new buds 2 pro When I connect the buds to my P7 initially everything works fine but after a call on the buds or the buds being idle for a long time all the other audio redirects to the phone speakers rather than the earphones itself The problem here is I can still control the music volume change tracks and everything with my buds and the phones bluetooth settings shows that its still connected but the audio cannot be routed through the buds During this time the galaxy wearable app also has a problem loading the status of my buds and only a disconnectreconnection solves the issue I noticed that turning off LE audio in bluetooth settings for the buds solved this issue but Im trying to understand why this might be the case Does turning off LE audio mean I can never play highres audio on my new buds PS I had the original buds pro prior to this which never had this problem","Software updatesAudio quality issues"
"negative"," The potential concerns about the Pixel 8 include battery life, no dual apps, overheating/battery drain, reliability issues, mixed views on the fingerprint sensor, quiet sound through Bluetooth, weaker network connectivity, poor LTE and WIFI, grainy front camera, lack of open Volte support, and no secure lock without unlocking the phone.","All my concerns with getting a pixel 8.Ive been looking to upgrade from a OnePlus 7 pro for a while now but each phone has their flaws so Im currently considering the s23 ultra except Ive had motherboard issues with them last time I have noted down all the problems listed about the pixel 7 pro are they fixed with the pixel 8 seriesBattery lifeNo dual appsSamsung made tensor chips so little bit overheating quicker battery drain reliability concern etc etc Mixed views on the fingerprint sensorQuiet sound in earphones headphones through Bluetooth Concerns on weaker network connectivity and LTE really bad WIFI Samsung modems instead of Qualcomm modemIm told the front camera has not been given any priority and is super grainy even in photosThe lack of open Volte support so trouble traveling internationally and unable to use networksNor having a secure lock if someone steals my phone can simply turn off wifi put it on airplane mode or even turn it off without unlocking the phoneno 3 finger screenshot Double tap empty space on the homescreen for screen off","Ease of functionality"
"negative"," On Google Pixel 7 Pro, I can't restore my AR Emoji from the previous Samsung Note S10 due to compatibility issues; is there a possible workaround?","AR Emoji from Samsung to Google Pixel.So its one of those silly things that bother me a lot for no good reason but I do want to know if anyone knows a solution to it Currently Samsung Watch 4 Previous phone Samsung Note S10  Current phone Google Pixel 7 ProI used to have a Samsung Note phone but I switched to google Pixel recently Connecting the watch and earphones no problem but with the new phone my AR Emoji person restarted and I cant seem to get her back I cant download AR Emoji on Pixel sadly but I wondered if there is a work around I even tried to see if it has to do something with Samsung Cloud but sadly no results or I am doing it wrong  Thank you for all and any help If sadly no work around back to boring Galaxy Watch faces ","User ExperienceApp difficult to use"
